,Name,Locality,Cuisines,avg_cost_for_two,aggregate_rating
1291,Livup Cafebar & Lounge,Vijay Nagar,"North Indian, South Indian, Chinese, Cafe, Beverages",1200,3.7
1292,Mama Loca,Vijay Nagar,"Continental, Italian",1100,4.1
1293,The Eighteen Fine Dine Lounge,Vijay Nagar,"North Indian, Continental, Modern Indian",1500,4.1
1294,Glazz,New Palasia,"North Indian, Italian",1500,3.2
1295,High Ball - Hotel Best Western Plus,"Hotel Best Western Plus O2, South Tukoganj","Finger Food, North Indian",1500,3.8
1296,Robusta Cafe,Rajendra Nagar,North Indian,700,3.7
1297,Cafe Blue Turtle,By Pass Road (North),"Cafe, Italian, Continental, Beverages",700,3.7
1298,Hotel Surya,"Hotel Surya, South Tukoganj","North Indian, Chinese",850,3.7
1299,Bottom Sip Bar & Restaurant,Vijay Nagar,"North Indian, Chinese, Finger Food",800,3.7
1300,60 ML,Annapurna Road,North Indian,1200,3.7
1301,The Roof,"Hotel Kanchan Tilak, South Tukoganj","North Indian, Chinese",900,3.5
1302,Hat's Off,Vijay Nagar,"North Indian, Chinese",750,2.7
1303,Lighthouse,Vijay Nagar,"North Indian, Chinese",750,3.5
1304,Amaltas,South Tukoganj,"North Indian, Chinese",700,3.6
1305,Diamante - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar","Continental, North Indian, Finger Food",1500,3.7
1306,White House,Old Palasia,"North Indian, Chinese",1300,3.4
1307,Addiction Rooftop Bar By Solaris,Bhawar Kuan,North Indian,1500,3.6
1308,Big Shot Bar - Country Inn & Suites by Radisson,"Country Inn & Suites By Radisson, Vijay Nagar",Bar Food,1400,3.2
1309,Boozer's Bar,Sudama Nagar,"North Indian, Chinese",1300,3.3
1310,Clam O Bar,By Pass Road (North),North Indian,1000,2.6
1311,Shack Pool Bar & Grill - Crescent Spa & Resorts,Crescent Spa & Resorts,"North Indian, Italian, Finger Food",1200,3.7
1312,Beeji Restaurant,Kothari Market,"North Indian, Chinese",1400,3.6
1313,The Tipsy Buffalo,By Pass Road (North),"Finger Food, North Indian",1200,3.5
1314,Carobar  Indore,By Pass Road (North),"North Indian, Mexican",600,3.7
1315,A-1 VIP Bar & Restaurant,Bhawar Kuan,"North Indian, Chinese",800,3.3
1316,Classic Bar & Restaurant,YN Road,"North Indian, Chinese",1400,3.3
1317,Brix & Barrels,Bhawar Kuan,"North Indian, Mughlai, Continental",1500,3.1
