,Name,Locality,Cuisines,avg_cost_for_two,aggregate_rating
1528,Patissez,Vijay Nagar,"Continental, Desserts",1000,4.3
1529,Shiva Chinese Wok,Old Palasia,"Chinese, Fast Food",300,4.1
1530,Old Kolkata Roll Club,New Palasia,"Chinese, Rolls",250,4.1
1531,Tinku Everfresh,Vijay Nagar,"Sandwich, Fast Food, Beverages",450,4.2
1532,Mama Loca,New Palasia,"Continental, Italian",1100,4.3
1533,Old Kolkata Roll Club,New Palasia,"Chinese, Rolls",250,4.1
1534,Just Paratha,Bhawar Kuan,"North Indian, Fast Food",250,4
1535,O2 Cafe De La Ville,New Palasia,"Cafe, Fast Food",900,4.1
1536,Just My Bakes,Vijay Nagar,"Cafe, North Indian, Bakery",700,4
1537,Guru Kripa,Rau,North Indian,300,3.9
1538,Tinku's,Bhawar Kuan,"Sandwich, Fast Food, Beverages",450,4
1539,Spicy Family Restaurant,Vijay Nagar,"North Indian, Chinese, Mughlai",500,3.7
1540,Oye24,Manik Bagh Road,"North Indian, Chinese",250,3.7
1541,Chill Baby,Old Palasia,"Fast Food, Chinese, Pizza",400,3.9
1542,Shreemaya Celebration,Rajendra Nagar,"Bakery, North Indian, South Indian, Fast Food",500,4.3
1543,Chick N Serve,Khajrana,"Lebanese, North Indian, Chinese",800,4.1
1544,Cafe Terazza,Vijay Nagar,"Cafe, Italian, Chinese",900,3.9
1545,Just My Bakes,Sudama Nagar,"Cafe, North Indian, Bakery",700,3.8
1546,Mustang - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar","North Indian, Chinese",1500,4.7
1547,Hotel Shree Leela,Sapna Sangeeta,North Indian,400,3.8
1548,Pizza Hut,Sapna Sangeeta,"Pizza, Fast Food, Italian",700,3.6
1549,Tea Shack,Vijay Nagar,"Fast Food, Italian",450,4.2
1550,JMB,Manik Bagh Road,"Chinese, Fast Food, Desserts",400,4.1
1551,Pizza Hut,"Malhar Mega Mall, Vijay Nagar","Pizza, Fast Food, Italian",700,3.3
1552,Food 4 Foodie,HIG-LIG,"North Indian, Fast Food",450,3.7
1553,Naturals Ice Cream,RNT Marg,"Desserts, Ice Cream",150,4.7
1554,Shree Leela Dal Bafle,Sarwate Bus Stand,North Indian,200,3.9
1555,The GroundBaking Co.,Vijay Nagar,"Pizza, Continental, Beverages",600,4.4
1556,Behrouz Biryani,Old Palasia,"Biryani, North Indian, Mughlai",700,4.4
1557,Sheetal Restaurant,Sudama Nagar,"North Indian, South Indian",600,3.9
1558,Parag Bakery & Fast Food,Sudama Nagar,"Bakery, Fast Food",300,4.1
1559,Oiya,New Palasia,Cafe,600,4.4
1560,Hotel Shreemaya,"Hotel Shreemaya, RNT Marg","North Indian, Mughlai, Chinese",1100,4.4
1561,Tinku's,YN Road,"Sandwich, Fast Food, Beverages",450,4.2
1562,Little Monk,MR 10 Road,"North Indian, Italian, Chinese",1000,4.2
1563,Chang's Legacy,Vijay Nagar,"Chinese, North Indian",800,4.6
1564,Johny Hot Dog,"56 Dukan, New Palasia",Fast Food,200,4.3
1565,Domino's Pizza,Rajendra Nagar,"Pizza, Fast Food",400,3.8
1566,JAL - A Jungle Restaurant,Bhawar Kuan,"North Indian, Chinese",850,4.2
1567,Foobae,Old Palasia,"Burger, Beverages, Fast Food, Desserts",300,4.1
1568,Singh Restaurant,Vijay Nagar,"North Indian, Chinese",500,3.8
1569,Dilli Da Roll,New Palasia,Rolls,400,4.4
1570,Sam's Momos,"56 Dukan, New Palasia","Momos, Chinese, Rolls, North Indian, Fast Food",500,3.9
1571,Pind Balluchi,Vijay Nagar,North Indian,1000,3.9
1572,Tea Shack,Vijay Nagar,"Fast Food, Italian",450,4.2
1573,Sam's Momos,"56 Dukan, New Palasia","Momos, Chinese, Rolls, North Indian, Fast Food",500,3.9
1574,Pind Balluchi,Vijay Nagar,North Indian,1000,3.9
1575,Via Indore,New Palasia,North Indian,550,3.6
1576,Delicious Hut,HIG-LIG,North Indian,300,4.1
1577,Madhur Zayka Sweets n Cafe,Annapurna Road,"North Indian, South Indian, Fast Food, Mithai",500,3.8
1578,Khaanafest,Khajrana,"North Indian, Chinese, Beverages",500,3.9
1579,Fagun Restaurant,Vijay Nagar,"North Indian, Continental, Chinese",1200,4.3
1580,Faasos,Old Palasia,"Fast Food, North Indian, Biryani, Rolls, Wraps",600,4.2
1581,Urban Lokal Cafe,Geeta Bhavan,"Fast Food, North Indian",350,4.1
1582,Rangla Punjab The Dhaba,Old Palasia,"North Indian, Chinese",600,3.9
1583,Goldy Di Hatti,"BCM Heights, Vijay Nagar","North Indian, Chinese, Biryani",400,3.9
1584,Chakhna Cafe,Old Palasia,"Chinese, Fast Food, North Indian, Beverages",350,3.9
1585,Cakes N' Craft,Old Palasia,"Bakery, Desserts",350,3.9
1586,Domino's Pizza,Sudama Nagar,"Pizza, Fast Food",400,3.4
1587,Vidorra,Old Palasia,"North Indian, Chinese",1500,4.1
1588,iFoodLounge,Old Palasia,"North Indian, South Indian, Chinese, Fast Food, Street Food",400,3.9
1589,Cream Centre,Vijay Nagar,"North Indian, Italian, Mexican",900,3.9
1590,Nom! Nom! Chinese,Vijay Nagar,"Chinese, Seafood",600,4.1
1591,Simi's,Vijay Nagar,"Bakery, Desserts",300,4.6
1592,Oye Pappe,Bhawar Kuan,"North Indian, Fast Food",350,4.2
1593,Bake N Shake,"BCM Heights, Vijay Nagar","Cafe, Fast Food, Bakery",500,4.2
1594,Shree Gurukripa,Sarwate Bus Stand,North Indian,350,4.3
1595,Nafees Restaurant,Old Palasia,"North Indian, Mughlai",800,4.3
1596,Shree Gurukripa,Vijay Nagar,North Indian,500,4.1
1597,Maa Ki Rasoi,Sudama Nagar,"North Indian, South Indian",450,4.1
1598,Apna Sweets,Vijay Nagar,"Mithai, North Indian, South Indian, Beverages",400,4.3
1599,Dutt Guru Kripa,South Tukoganj,"North Indian, Fast Food",450,4.1
1600,Mitti - Organic. Fresh. Desi.,Old Palasia,"Cafe, North Indian",600,4.3
1601,SD 21 - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar","North Indian, Chinese",1100,4.6
1602,Cravings - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Chinese, Italian",1800,4.7
1603,Hotel Rajhans,Sarafa Bazaar,North Indian,400,4
1604,The Cube - Hotel Effotel,"Hotel Effotel, Vijay Nagar","North Indian, Chinese, Italian",1200,4.8
1605,Apna Sweets,Sapna Sangeeta,"Mithai, North Indian, South Indian, Beverages",400,4
1606,Kebabsville - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Bar Food",1500,4.9
1607,The Monroe,New Palasia,"Italian, Chinese, North Indian",900,4.4
1608,Singh Sahab,Sapna Sangeeta,"North Indian, Chinese",600,3.9
1609,Tic Tac Toe,Vijay Nagar,"North Indian, Chinese, Fast Food",1200,4.4
1610,Indore Kitchen - Indore Marriott Hotel,Vijay Nagar,"North Indian, Italian, Asian, Fast Food",1800,4.4
1611,Taberna - The Cafe Bar,Vijay Nagar,"Italian, North Indian, Chinese",1400,4.4
1612,Mangosteen Cafe,New Palasia,Cafe,800,4
1613,Dilli Darbar Family Restaurant,Old Palasia,"Chinese, North Indian",750,3.9
1614,Mocha,YN Road,"Cafe, Continental, Italian, Street Food",800,4.2
1615,Gyaniji Ka Khalsa Dhaba,Bhawar Kuan,"North Indian, Chinese",400,3.9
1616,Pishori Restaurant,Sapna Sangeeta,"North Indian, Chinese, Mughlai",800,4
1617,Banana Leaf,"Malhar Mega Mall, Vijay Nagar","South Indian, North Indian",800,4.3
1618,Apna Sweets,Annapurna Road,"Mithai, North Indian, South Indian, Beverages",400,3.8
1619,Patissez,Vijay Nagar,"Continental, Desserts",1000,4.3
1620,Mama Loca,New Palasia,"Continental, Italian",1100,4.3
1621,Hobnob Gourmet Cafébar,"Infiniti Hotel, Vijay Nagar","Continental, Italian, North Indian",1950,4.6
1622,O2 Cafe De La Ville,New Palasia,"Cafe, Fast Food",900,4.1
1623,Guru Kripa,Rau,North Indian,300,3.9
1624,Just My Bakes,Vijay Nagar,"Cafe, North Indian, Bakery",700,4
1625,Mr. Beans,Old Palasia,"Cafe, French, Italian",800,4.3
1626,Cafe Chapter One,Vijay Nagar,"Cafe, Italian, Fast Food",750,4.5
1627,Cafe Terazza,Vijay Nagar,"Cafe, Italian, Chinese",900,3.9
1628,Bollywood Theka,"Infiniti Hotel, Vijay Nagar","North Indian, Fast Food, Finger Food",1300,4.4
1629,Mustang - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar","North Indian, Chinese",1500,4.7
1630,Pizza Hut,Sapna Sangeeta,"Pizza, Fast Food, Italian",700,3.6
1631,Hotel Shree Leela,Sapna Sangeeta,North Indian,400,3.8
1632,Cafe Yolo,Vijay Nagar,"Cafe, Fast Food",650,4.1
1633,Tea Shack,Vijay Nagar,"Fast Food, Italian",450,4.2
1634,Pizza Hut,"Malhar Mega Mall, Vijay Nagar","Pizza, Fast Food, Italian",700,3.3
1635,Food 4 Foodie,HIG-LIG,"North Indian, Fast Food",450,3.7
1636,Namo Sandwich,Sudama Nagar,Fast Food,500,4.3
1637,Cafe Yolo,Vijay Nagar,"Cafe, Fast Food",650,4.1
1638,Sheetal Restaurant,Sudama Nagar,"North Indian, South Indian",600,3.9
1639,Hotel Shreemaya,"Hotel Shreemaya, RNT Marg","North Indian, Mughlai, Chinese",1100,4.4
1640,Oiya,New Palasia,Cafe,600,4.4
1641,10 Downing Street,Vijay Nagar,"North Indian, Chinese",1500,4.1
1642,Little Monk,MR 10 Road,"North Indian, Italian, Chinese",1000,4.2
1643,Chang's Legacy,Vijay Nagar,"Chinese, North Indian",800,4.6
1644,JAL - A Jungle Restaurant,Bhawar Kuan,"North Indian, Chinese",850,4.2
1645,Singh Restaurant,Vijay Nagar,"North Indian, Chinese",500,3.8
1646,Pind Balluchi,Vijay Nagar,North Indian,1000,3.9
1647,Via Indore,New Palasia,North Indian,550,3.6
1648,Madhur Zayka Sweets n Cafe,Annapurna Road,"North Indian, South Indian, Fast Food, Mithai",500,3.8
1649,Stars N Sky,"Infiniti Hotel, Vijay Nagar","North Indian, Chinese, Mughlai",1400,4.6
1650,Fagun Restaurant,Vijay Nagar,"North Indian, Continental, Chinese",1200,4.3
1651,Rangla Punjab The Dhaba,Old Palasia,"North Indian, Chinese",600,3.9
1652,Goldy Di Hatti,"BCM Heights, Vijay Nagar","North Indian, Chinese, Biryani",400,3.9
1653,Apna Sweets,Bombay Bazaar,"Mithai, North Indian, South Indian, Beverages",400,3.2
1654,Hill's View - Papaya Tree Hotel,Papaya Tree Hotel,"North Indian, Chinese, Italian",1300,4.4
1655,Shosha Cafebar,Vijay Nagar,"North Indian, Mexican, Italian",1500,4
1656,Vidorra,Old Palasia,"North Indian, Chinese",1500,4.1
1657,Nom! Nom! Chinese,Vijay Nagar,"Chinese, Seafood",600,4.1
1658,Cream Centre,Vijay Nagar,"North Indian, Italian, Mexican",900,3.9
1659,Opium Bar By The Roof,"Infiniti Hotel, Vijay Nagar","Finger Food, North Indian",1400,4.4
1660,Lotus Cafe & Restaurant,Rajendra Nagar,"Cafe, North Indian",550,3.3
1661,Pizza Hut,Old Palasia,"Pizza, Fast Food, Italian",700,3.3
1662,KYRO,Bhawar Kuan,"North Indian, Chinese, Continental, Mediterranean, Asian",1800,3.7
1663,Freito,Vijay Nagar,"Mexican, Italian, Cafe",900,4
1664,Pitchers Cafebar,Vijay Nagar,"North Indian, Italian, Fast Food",1000,4
1665,Masala Medley Cafe,Sapna Sangeeta,"Cafe, North Indian",600,3.7
1666,Kebabilal's,Bhawar Kuan,"North Indian, Chinese",700,3.7
1667,Madni Non Veg Restaurant,Gangwal Bus Stand,"North Indian, Biryani",400,4.1
1668,Pleasure House,Bhawar Kuan,"Cafe, Fast Food",500,4.3
1669,Shreemaya Celebrity,"Hotel Shreemaya Residency, Press Complex","North Indian, South Indian, Italian, Chinese, Street Food",500,4.5
1670,Alav,New Palasia,"North Indian, Chinese",700,4
1671,Little Italy,Vijay Nagar,"Italian, Mexican",1400,4.5
1672,House Of Malts,Vijay Nagar,"North Indian, Italian",1000,4.1
1673,Shreemaya Celebrity,"Hotel Shreemaya Residency, Press Complex","North Indian, South Indian, Italian, Chinese, Street Food",500,4.5
1674,Shree Chotiwala Restaurant,South Tukoganj,"North Indian, Chinese",450,3.7
1675,Angaraa,Old Palasia,"North Indian, Chinese",650,3.2
1676,Capers - Hotel Effotel,"Hotel Effotel, Vijay Nagar","North Indian, Italian, Chinese, Continental",1200,4.5
1677,Chef's Alcove,Rau,"American, Mexican, Italian",850,4.2
1678,Vrindavan Restaurant,Vijay Nagar,"North Indian, Chinese, Mughlai",800,3.7
1679,Hotel Guru Kripa,Sarwate Bus Stand,North Indian,350,4.3
1680,The Creative Kitchen - Radisson Blu Hotel,"Radisson Blu Hotel, Vijay Nagar","North Indian, Continental, Mexican, Italian",2000,4.1
1681,Mediterra - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","Mediterranean, Italian",2500,4.5
1682,Oakaz - Cafe and Restaurant,South Tukoganj,"Cafe, North Indian, Fast Food",600,3.7
1683,Chopstick City - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar",Chinese,1500,4.5
1684,Hotel Guru Kripa Avenue,Sarwate Bus Stand,North Indian,350,4.1
1685,The Eyry,New Palasia,"Cafe, Mexican, Italian, North Indian",1000,4.1
1686,Ranjeet's Kitchen,Sudama Nagar,North Indian,450,3.3
1687,The Chocolate Room,"BCM Heights, Vijay Nagar","Cafe, Desserts",700,3.9
1688,Hotel Shree Leela,Sarwate Bus Stand,North Indian,400,3.8
1689,Cafe Bake Well,"Hotel Crown Palace, South Tukoganj","Cafe, Chinese",400,3.9
1690,Mugs & Beans,Rau,"North Indian, Italian, Fast Food",750,3.9
1691,Gordhan Thal,Geeta Bhavan,Gujarati,600,3.9
1692,Khanabadosh,By Pass Road (North),"North Indian, Chinese",1000,3.6
1693,Tic Tac Toe,Vijay Nagar,"North Indian, Chinese, Fast Food",1200,4.4
1694,Taberna - The Cafe Bar,Vijay Nagar,"Italian, North Indian, Chinese",1400,4.4
1695,Mocha,YN Road,"Cafe, Continental, Italian, Street Food",800,4.2
1696,Hobnob Gourmet Cafébar,"Infiniti Hotel, Vijay Nagar","Continental, Italian, North Indian",1950,4.6
1697,Mustang - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar","North Indian, Chinese",1500,4.7
1698,10 Downing Street,Vijay Nagar,"North Indian, Chinese",1500,4.1
1699,Shosha Cafebar,Vijay Nagar,"North Indian, Mexican, Italian",1500,4
1700,KYRO,Bhawar Kuan,"North Indian, Chinese, Continental, Mediterranean, Asian",1800,3.7
1701,Pitchers Cafebar,Vijay Nagar,"North Indian, Italian, Fast Food",1000,4
1702,Twilight - Hotel WOW,"Hotel Wow, Vijay Nagar",Bar Food,2400,4.3
1703,Sky Blue Sports Bar,"C21 Mall, Vijay Nagar","Finger Food, North Indian, Chinese, Mughlai",1800,3.3
1704,Mad-eira - The Sensation Hotel,The Sensation Hotel - Rajendra Nagar,"North Indian, Chinese",700,3.6
1705,Quenchyard,By Pass Road (South),"North Indian, Chinese",1300,4.1
1706,Calypso,"C21 Mall, Vijay Nagar","North Indian, Chinese, Continental",1500,3.9
1707,Hangover The Gastro Pub,Vijay Nagar,"North Indian, Italian",1000,4.3
1708,The Beer Cafe,Vijay Nagar,"Finger Food, Bar Food, Pizza",1500,4
1709,F Bar & Kitchen,Vijay Nagar,"Continental, North Indian",2000,3.6
1710,Indore Pub Exchange,"Treasure Island Mall, South Tukoganj","Finger Food, North Indian, Italian, Continental",1000,3.8
1711,The Cliff Restaurant & Bar,Vijay Nagar,"North Indian, Chinese",1300,2.5
1712,Agent Jack's Bar,Vijay Nagar,"Italian, North Indian",1500,4
1713,Level 3,"Mangal City Mall, Vijay Nagar","North Indian, Finger Food, Mughlai",1500,3.4
1714,Ethyl Bar - Radisson Blu Hotel,"Radisson Blu Hotel, Vijay Nagar",Finger Food,2600,4.2
1715,Livup Cafebar & Lounge,Vijay Nagar,"North Indian, South Indian, Chinese, Cafe, Beverages",1200,3.7
1716,Quorum - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","Finger Food, North Indian, Continental",1500,3.7
1717,High Ball - Hotel Best Western Plus,"Hotel Best Western Plus O2, South Tukoganj","Finger Food, North Indian",1500,3.8
1718,Ego,Old Palasia,"North Indian, Chinese",1500,3.8
1719,Robusta Cafe,Rajendra Nagar,North Indian,700,3.7
1720,Cafe Blue Turtle,By Pass Road (North),"Cafe, Italian, Continental, Beverages",700,3.7
1721,60 ML,Annapurna Road,North Indian,1200,3.7
1722,The Roof,"Hotel Kanchan Tilak, South Tukoganj","North Indian, Chinese",900,3.5
1723,Marbella Cafebar,Vijay Nagar,"Continental, Asian, Italian",1000,3.4
1724,Exotica The Lounge Bar - Crescent Spa & Resorts,Crescent Spa & Resorts,"Finger Food, Continental",1200,3.5
1725,District 11,"Malhar Mega Mall, Vijay Nagar","North Indian, Italian, Mexican",1200,3.4
1726,Addiction Rooftop Bar By Solaris,Bhawar Kuan,North Indian,1500,3.6
1727,Boozer's Bar,Sudama Nagar,"North Indian, Chinese",1300,3.3
1728,Victoria Club & Lounge,"Treasure Island Mall, South Tukoganj","Finger Food, North Indian, Chinese",1000,2.6
1729,Shack Pool Bar & Grill - Crescent Spa & Resorts,Crescent Spa & Resorts,"North Indian, Italian, Finger Food",1200,3.7
1730,Brix & Barrels,Bhawar Kuan,"North Indian, Mughlai, Continental",1500,3.1
1731,O2 Club & Lounge,South Tukoganj,"Chinese, North Indian, Continental",1200,3.7
1732,Smaaash,South Tukoganj,Finger Food,1200,3.4
1733,Good Luck Restaurant & Bar,YN Road,Finger Food,900,3.2
1734,Fantasy Lounge and Bar,South Tukoganj,"North Indian, Chinese",800,3.1
1735,Namo Sandwich,Sudama Nagar,Fast Food,500,4.3
1736,Bake N Shake,"BCM Heights, Vijay Nagar","Cafe, Fast Food, Bakery",500,4.2
1737,Shree Gurukripa,Sarwate Bus Stand,North Indian,350,4.3
1738,Hotel Guru Kripa,Sarwate Bus Stand,North Indian,350,4.3
1739,Nafees Restaurant,Old Palasia,"North Indian, Mughlai",800,4.3
1740,Shree Gurukripa,Vijay Nagar,North Indian,500,4.1
1741,Hotel Guru Kripa Avenue,Sarwate Bus Stand,North Indian,350,4.1
1742,Maa Ki Rasoi,Sudama Nagar,"North Indian, South Indian",450,4.1
1743,Apna Sweets,Vijay Nagar,"Mithai, North Indian, South Indian, Beverages",400,4.3
1744,Dutt Guru Kripa,South Tukoganj,"North Indian, Fast Food",450,4.1
1745,Oye24,HIG-LIG,"North Indian, Chinese",250,4.1
1746,Mitti - Organic. Fresh. Desi.,Old Palasia,"Cafe, North Indian",600,4.3
1747,Sagar Gaire,New Palasia,"South Indian, North Indian, Fast Food",450,4.1
1748,SD 21 - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar","North Indian, Chinese",1100,4.6
1749,Domino's Pizza,"Sapna Sangeeta Mall, Sapna Sangeeta","Pizza, Fast Food",400,3.9
1750,Cravings - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Chinese, Italian",1800,4.7
1751,Hotel Rajhans,Sarafa Bazaar,North Indian,400,4
1752,Hotel Zakir,Khajrana,North Indian,300,4.1
1753,The Cube - Hotel Effotel,"Hotel Effotel, Vijay Nagar","North Indian, Chinese, Italian",1200,4.8
1754,Apna Sweets,Sapna Sangeeta,"Mithai, North Indian, South Indian, Beverages",400,4
1755,Domino's Pizza,Old Palasia,"Pizza, Fast Food",400,3.9
1756,99 Rotiwala,HIG-LIG,North Indian,500,4.2
1757,Madhuram Sweets,"56 Dukan, New Palasia","Chinese, Mithai",300,4
1758,Kebabsville - Sayaji Hotel,Vijay Nagar,"North Indian, Bar Food",1500,4.9
1759,Shreemaya Celebration,"Hotel Shreemaya, RNT Marg","Bakery, North Indian, South Indian, Fast Food",600,4.6
1760,Hotel Madni Darbar,Sarwate Bus Stand,North Indian,300,3.9
1761,Apna Sweets,Old Palasia,"Mithai, North Indian, South Indian, Beverages",400,4.2
1762,Domino's Pizza,Vijay Nagar,"Pizza, Fast Food",400,3.8
1763,The Monroe,New Palasia,"Italian, Chinese, North Indian",900,4.4
1764,Singh Sahab,Sapna Sangeeta,"North Indian, Chinese",600,3.9
1765,Taberna - The Cafe Bar,Vijay Nagar,"Italian, North Indian, Chinese",1400,4.4
1766,Mangosteen Cafe,New Palasia,Cafe,800,4
1767,KFC,"Malhar Mega Mall, Vijay Nagar","Burger, Fast Food",450,4
1768,Tic Tac Toe,Vijay Nagar,"North Indian, Chinese, Fast Food",1200,4.4
1769,Indore Kitchen - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar","North Indian, Italian, Asian, Fast Food",1800,4.4
1770,Dilli Darbar Family Restaurant,Old Palasia,"Chinese, North Indian",750,3.9
1771,Mocha,YN Road,"Cafe, Continental, Italian, Street Food",800,4.2
1772,Rasgulla House,Geeta Bhavan,Mithai,100,4.3
1773,Gyaniji Ka Khalsa Dhaba,Bhawar Kuan,"North Indian, Chinese",400,3.9
1774,Pishori Restaurant,Sapna Sangeeta,"North Indian, Chinese, Mughlai",800,4
1775,Banana Leaf,"Malhar Mega Mall, Vijay Nagar","South Indian, North Indian",800,4.3
1776,Apna Sweets,Annapurna Road,"Mithai, North Indian, South Indian, Beverages",400,3.8
1777,"Raja Ram - Dhaba, Sweets & Namkeen",Vijay Nagar,"North Indian, Mithai, Street Food",200,4.1
1778,Patissez,Vijay Nagar,"Continental, Desserts",1000,4.3
1779,Shiva Chinese Wok,Old Palasia,"Chinese, Fast Food",300,4.1
1780,Old Kolkata Roll Club,New Palasia,"Chinese, Rolls",250,4.1
1781,Tinku Everfresh,Vijay Nagar,"Sandwich, Fast Food, Beverages",450,4.2
1782,Mama Loca,New Palasia,"Continental, Italian",1100,4.3
1783,Hobnob Gourmet Cafébar,"Infiniti Hotel, Vijay Nagar","Continental, Italian, North Indian",1950,4.6
1784,KFC,RNT Marg,"Burger, Fast Food",450,3.8
1785,O2 Cafe De La Ville,New Palasia,"Cafe, Fast Food",900,4.1
1786,Guru Kripa,Rau,North Indian,300,3.9
1787,Just Paratha,Bhawar Kuan,"North Indian, Fast Food",250,4
1788,Just My Bakes,Vijay Nagar,"Cafe, North Indian, Bakery",700,4
1789,Mr. Beans,Old Palasia,"Cafe, French, Italian",800,4.3
1790,Cafe Chapter One,Vijay Nagar,"Cafe, Italian, Fast Food",750,4.5
1791,Shreemaya Celebration,Rajendra Nagar,"Bakery, North Indian, South Indian, Fast Food",500,4.3
1792,Tinku's,Bhawar Kuan,"Sandwich, Fast Food, Beverages",450,4
1793,Oye24,Manik Bagh Road,"North Indian, Chinese",250,3.7
1794,Cafe Terazza,Vijay Nagar,"Cafe, Italian, Chinese",900,3.9
1795,Chill Baby,Old Palasia,"Fast Food, Chinese, Pizza",400,3.9
1796,Shreemaya Celebration,Rajendra Nagar,"Bakery, North Indian, South Indian, Fast Food",500,4.3
1797,Chick N Serve,Khajrana,"Lebanese, North Indian, Chinese",800,4.1
1798,Cafe Terazza,Vijay Nagar,"Cafe, Italian, Chinese",900,3.9
1799,Johny Hot Dog,"56 Dukan, New Palasia","Fast Food, Street Food",150,4.5
1800,Just My Bakes,Sudama Nagar,"Cafe, North Indian, Bakery",700,3.8
1801,Mustang - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar","North Indian, Chinese",1500,4.7
1802,Hotel Shree Leela,Sapna Sangeeta,North Indian,400,3.8
1803,Pizza Hut,Sapna Sangeeta,"Pizza, Fast Food, Italian",700,3.6
1804,Tea Shack,Vijay Nagar,"Fast Food, Italian",450,4.2
1805,JMB,Manik Bagh Road,"Chinese, Fast Food, Desserts",400,4.1
1806,Pizza Hut,"Malhar Mega Mall, Vijay Nagar","Pizza, Fast Food, Italian",700,3.3
1807,Food 4 Foodie,HIG-LIG,"North Indian, Fast Food",450,3.7
1808,Ravi Alpahar,Old Palasia,Street Food,100,4.3
1809,Vijay Chaat House,"56 Dukan, New Palasia",Street Food,100,4.8
1810,The GroundBaking Co.,Vijay Nagar,"Pizza, Continental, Beverages",600,4.4
1811,Shree Leela Dal Bafle,Sarwate Bus Stand,North Indian,200,3.9
1812,Cafe Yolo,Vijay Nagar,"Cafe, Fast Food",650,4.1
1813,Naturals Ice Cream,RNT Marg,"Desserts, Ice Cream",150,4.7
1814,Sheetal Restaurant,Sudama Nagar,"North Indian, South Indian",600,3.9
1815,Parag Bakery & Fast Food,Sudama Nagar,"Bakery, Fast Food",300,4.1
1816,Hotel Shreemaya,"Hotel Shreemaya, RNT Marg","North Indian, Mughlai, Chinese",1100,4.4
1817,Oiya,New Palasia,Cafe,600,4.4
1818,10 Downing Street,Vijay Nagar,"North Indian, Chinese",1500,4.1
1819,Mukki Ke Zayke,Sapna Sangeeta,Fast Food,150,4.4
1820,Little Monk,MR 10 Road,"North Indian, Italian, Chinese",1000,4.2
1821,Tinku's,YN Road,"Sandwich, Fast Food, Beverages",450,4.2
1822,Chang's Legacy,Vijay Nagar,"Chinese, North Indian",800,4.6
1823,Johny Hot Dog,"56 Dukan, New Palasia",Fast Food,200,4.3
1824,JAL - A Jungle Restaurant,Bhawar Kuan,"North Indian, Chinese",850,4.2
1825,Domino's Pizza,Rajendra Nagar,"Pizza, Fast Food",400,3.8
1826,Foobae,Old Palasia,"Burger, Beverages, Fast Food, Desserts",300,4.1
1827,Singh Restaurant,Vijay Nagar,"North Indian, Chinese",500,3.8
1828,Dilli Da Roll,New Palasia,Rolls,400,4.4
1829,Sam's Momos,"56 Dukan, New Palasia","Momos, Chinese, Rolls, North Indian, Fast Food",500,3.9
1830,Pind Balluchi,Vijay Nagar,North Indian,1000,3.9
1831,Via Indore,New Palasia,North Indian,550,3.6
1832,Delicious Hut,HIG-LIG,North Indian,300,4.1
1833,Madhur Zayka Sweets n Cafe,Annapurna Road,"North Indian, South Indian, Fast Food, Mithai",500,3.8
1834,Stars N Sky,"Infiniti Hotel, Vijay Nagar","North Indian, Chinese, Mughlai",1400,4.6
1835,Bake N Shake,"BCM Heights, Vijay Nagar","Cafe, Fast Food, Bakery",500,4.2
1836,Mitti - Organic. Fresh. Desi.,Old Palasia,"Cafe, North Indian",600,4.3
1837,Mangosteen Cafe,New Palasia,Cafe,800,4
1838,Mocha,YN Road,"Cafe, Continental, Italian, Street Food",800,4.2
1839,O2 Cafe De La Ville,New Palasia,"Cafe, Fast Food",900,4.1
1840,Just My Bakes,Vijay Nagar,"Cafe, North Indian, Bakery",700,4
1841,Mr. Beans,Old Palasia,"Cafe, French, Italian",800,4.3
1842,Cafe Chapter One,Vijay Nagar,"Cafe, Italian, Fast Food",750,4.5
1843,Cafe Terazza,Vijay Nagar,"Cafe, Italian, Chinese",900,3.9
1844,Just My Bakes,Sudama Nagar,"Cafe, North Indian, Bakery",700,3.8
1845,Cafe Yolo,Vijay Nagar,"Cafe, Fast Food",650,4.1
1846,Oiya,New Palasia,Cafe,600,4.4
1847,Tea Shack,Vijay Nagar,"Fast Food, Italian",450,4.2
1848,Lotus Cafe & Restaurant,Rajendra Nagar,"Cafe, North Indian",550,3.3
1849,Freito,Vijay Nagar,"Mexican, Italian, Cafe",900,4
1850,Masala Medley Cafe,Sapna Sangeeta,"Cafe, North Indian",600,3.7
1851,Pleasure House,Bhawar Kuan,"Cafe, Fast Food",500,4.3
1852,Cafe Kono,New Palasia,Cafe,500,4
1853,Oakaz - Cafe and Restaurant,South Tukoganj,"Cafe, North Indian, Fast Food",600,3.7
